Hotel Name,Hotel Address,Hotel Rating,Author,Review Rating,Review Title,Review Description,type,Date,Response
,,,too,5.0,excellent service,"we were there for my sister marriage due to renovations we faced some problems also cricket team was staying there but then also it was nice stay there from main porch security to banquet team all were excellent, excellent service tasty food . would like to say thank u to ‘Mr. rajib housekeeping manager who personally came to meet us regarding for water bottles consumption. also to miss pooja who were very helpful to allotments for rooms on same floor. as the renovation will be done will come with family to enjoy ur services. thank u",,February 2019,"Dear Mr. Avi,  Greetings from The Gateway Hotel, Surat!  We thank you for choosing The Gateway Hotel, Surat for your recent stay in Surat. Your review absolutely made our day! All of our associates are dedicated to going the extra mile to make your stay exceptional in every way. We are here to provide attentive service no matter the time of day or night.   We appreciate you taking the time to let us know how we did, and we hope your travels will bring you back to The Gateway Hotel, Surat to be our guest again in the near future!  Warm Regards  Aveek Sengupta General Manager The Gateway Hotel Surat Email: aveek.sengupta@tajhotels.com "
,,,Neel,5.0,Nice Hotel,Service of the hotel in the gateway is very good front office staff is very helpful n sweet special thanks to shraddha pramila and sweet pooja restaurants food is also good khyali from belldesk is also helpful. Thanks all,,June 2019,"Dear Mr. Patel,   Greetings from The Gateway Hotel, Surat!    Thank you so much for your valuable feedback. It was a pleasure reading your review, and we appreciate you sharing the highlights of your stay with other travelers. This is to convey our gratitude for the appreciation that you have shown towards the services of our hotel. Appreciation such as yours increases our motivation to achieve the expectations that our guests have of us.    I have shared your feedback with all my colleagues and the entire team looks forward to your next visit to our hotel.    We hope our hotel will be your preferred choice when you come back to Surat whether for business or pleasure!      Warm Regards  Aveek Sengupta  General Manager  The Gateway Hotel Surat  Email: aveek.sengupta@tajhotels.com "
,,,Ravi,5.0,Excellent hotel for weddings,"I was there for my sister wedding and it was one of best time we had with family and relatives. Staff ensured flawless, crisp service with great attention i would like to thank pramila, pooja , shraddha and many more who ensure we have a good time i was truely amazed with the service and hospitality we have received.",,June 2019,"Dear Mr. Ravi,   Greetings from The Gateway Hotel Athwalines, Surat!   I have conveyed your compliments to the hotel team for whom it has been a tremendous source of inspiration.    It is our earnest endeavor to ensure that our guests have a most enjoyable visit with us and I am glad that you have carried with you happy memories of your visit with us. Appreciation such as yours increases our motivation to achieve the expectations that our guests have of us.    We are grateful for your recommendation and do hope you will continue to provide us with more opportunities to be of service.     Warm Regards   Aveek Sengupta General Manager The Gateway Hotel Surat Email: aveek.sengupta@tajhotels.com "
,,,Prashant,5.0,Amazing hospitality,"We had 3 rooms booked at hotel for business trip.All the arrangements were made smoothly.The staff from traveldesk to roomservice,everyone did a great job.we would like to especially mention the reception staff Ms Pooja ,Pramila and Shraddha were extremely couteous and paid attention to every small detail of our requirement.We were very happy with the services.Excellent team.",,June 2019,"Dear Mr. Prashant,   Greetings from The Gateway Hotel, Surat! Thank you for choosing The Gateway Hotel, Surat for your recent stay in Surat. We are very glad to know you were pleased with the hotel overall. All of our associates are dedicated to going the extra mile to make your stay exceptional in every way.   I have conveyed your compliments to the hotel team for whom it has been a tremendous source of inspiration. We are grateful for your recommendation and do hope you will continue to provide us with more opportunities to be of service.   We look forward to welcoming you back once again and continuing to meet your expectations.      Warm Regards   Aveek Sengupta General Manager The Gateway Hotel Surat Email: aveek.sengupta@tajhotels.com   "
,,,Amit_Mittal66,2.0,Pet policy needs to be changed / room allottment improved.,"The pet policy of the hotel needs to be changed to disclose that guest carrying the pety need to enter property through service (garbage) entrance to access the room. Also despite being a TIC member, the room though upgraded was allotted in the area where renovation going on and scaffolding was up instead of the other half where there was none. The buffet breakfast was good. Rooms and hotel quite nice. They could do a better job on maintaining the lawn at the property.",,June 2019,"Dear Mr. Mittal,  Greetings from The Gateway Hotel, Surat!  Please accept my sincere apologies for the problems you encountered during your stay. We assure you that what you experienced is not acceptable by our standards, and we will be taking proper actions to provide you with a much-evolved experience for your future stays.  We are nearing the end of the renovation process within few months after which the hotel will be completely new with additional services.  Your feedback will go a long way in helping us to achieve our mission. We hope that you will give us another chance to showcase our hospitality and service.   We immensely value your patronage and look forward to welcoming you back again in the future.  Warm Regards  Aveek Sengupta General Manager The Gateway Hotel Surat Email: aveek.sengupta@tajhotels.com "
,,,Roving816010,5.0,Awesome experience,"Really liked the stay at the property, the staff are very warm and welcoming ,the welcome with khadi scarf was really appreciated. We stayed for 10 nights abd it was really lovely stay.the staff to mention pooja,shraddha and pramila were extremely efficient at reception.the food and gym was good.overall stay was great.thanks to entire team",,June 2019,"Dear Guest,  Greetings from The Gateway Hotel, Surat!  We are delighted to know that overall you enjoyed our hospitality, food and overall services. I have conveyed your compliments to the hotel team for whom it has been a tremendous source of inspiration. It is our earnest endeavor to ensure that our guests have a most enjoyable stay with us and I am glad that you have carried with you happy memories of your stay with us.   We are grateful for your recommendation and do hope you will continue to provide us with more opportunities to be of service.  We look forward to welcoming you back once again and continuing to meet your expectations.   Warm Regards  Aveek Sengupta General Manager The Gateway Hotel Surat Email: aveek.sengupta@tajhotels.com  "
,,,bala563,5.0,excellent service the gateway hoyel surat,"Gr8 Hospitality..good food..good care taken by staff treeja,hari,arjun,nirav,nikita floor managers mr.pradip and mr.harish.also thanks to delicious kolkata rolls and parathas by chef george chef vikas rai,chef manoj,chef dhanpal lovely food.Apu is star of the hotel lovely voice entertained us very well.",,June 2019,"Dear Mr. Bala,  Greetings from The Gateway Hotel, Surat!  We are delighted to know that overall you enjoyed our hospitality, food and overall services. I have conveyed your compliments to the hotel team for whom it has been a tremendous source of inspiration. It is our earnest endeavor to ensure that our guests have a most enjoyable stay with us and I am glad that you have carried with you happy memories of your stay with us.   We are grateful for your recommendation and do hope you will continue to provide us with more opportunities to be of service.  We look forward to welcoming you back once again and continuing to meet your expectations.   Warm Regards  Aveek Sengupta General Manager The Gateway Hotel Surat Email: aveek.sengupta@tajhotels.com  "
,,,Jaba Prabu,5.0,Excellent Service!,"We stayed for 24 days and it is an excellent service and hospitality!!! All staffs are very kind mainly specially Pradip, Harish, Ankit , Divya... thanks  a lot! Looking forward to visit again!  Recommend to all.",,June 2019,"Dear Mr. Prabu,  Greetings from The Gateway Hotel Athwalines, Surat!  I have conveyed your compliments to the hotel team for whom it has been a tremendous source of inspiration.   It is our earnest endeavor to ensure that our guests have a most enjoyable visit with us and I am glad that you have carried with you happy memories of your visit with us. Appreciation such as yours increases our motivation to achieve the expectations that our guests have of us.   We are grateful for your recommendation and do hope you will continue to provide us with more opportunities to be of service.  Warm Regards  Aveek Sengupta General Manager The Gateway Hotel Surat Email: aveek.sengupta@tajhotels.com  "
,,,Samarth Tewari,5.0,Amazing experience,I am very regular to the hotel since last 2 years and every visit is always been so amazing.  The experience  at check-in being welcomed by staff with smile Ms Pooja and pramila are always committed for making our stay amazing.  I am always thankful. The rooms are well equipped and the view is great.the Gujarati Thali is great in terms of food. Will always be loyal to Taj.,,June 2019,"Dear Mr. Tewari,  Greetings from The Gateway Hotel, Surat!  We are delighted to know that overall you enjoyed our hospitality, food and overall services. I have conveyed your compliments to the hotel team for whom it has been a tremendous source of inspiration. It is our earnest endeavor to ensure that our guests have a most enjoyable stay with us and I am glad that you have carried with you happy memories of your stay with us.   We are grateful for your recommendation and do hope you will continue to provide us with more opportunities to be of service.  We look forward to welcoming you back once again and continuing to meet your expectations.   Warm Regards  Aveek Sengupta General Manager The Gateway Hotel Surat Email: aveek.sengupta@tajhotels.com  "
,,,Firoz,5.0,Front office staff are very cordial,"The staff at reception (pramila and sheetal)were very helpful, had forgotten some of my important stuff at hotel and they helped me to recieve it promptly.such sincere efforts from staff makes me loyal to TAJ.",,June 2019,"Dear Mr. Pathan,  Greetings from The Gateway Hotel, Surat!  We thank you for choosing The Gateway Hotel, Surat for your recent stay in Surat. Your review absolutely made our day! All of our associates are dedicated to going the extra mile to make your stay exceptional in every way. We are here to provide attentive service no matter the time of day or night.   We appreciate you taking the time to let us know how we did, and we hope your travels will bring you back to The Gateway Hotel, Surat to be our guest again in the near future!  Warm Regards  Aveek Sengupta General Manager The Gateway Hotel Surat Email: aveek.sengupta@tajhotels.com  "
,,,19681968,5.0,Fradey Cat,After 10 years I finally needed to visit the dentist. I made an appointment at Gateway dental in mission bc. When I arrived for my appt I let them know that I am terrified of the dentist. Dentists give me anxiety. Before they started the dentist explained step by step what she was doing and would stop and anytime i felt overwhelmed.  I have been back 3 times now for different procedures and I can't tell you how great they have been.  Thank you everyone at Gateway Dental for making my visits less anxious.,,May 2019,"Dear Ms. Davena,  Greetings from The Gateway Hotel, Surat!  Thank you so much for your valuable feedback on Google. This is to convey our gratitude for the appreciation that you have shown towards the services of our hotel. I have shared your feedback with all my colleagues at the hotel.   Thank you for choosing The Gateway Hotel Athwalines Surat!  Warm Regards  Aveek Sengupta General Manager The Gateway Hotel Surat Email: aveek.sengupta@tajhotels.com  "
,,,Shashwat rawat,5.0,The staff are very humble,"I would like to extend my warmest regards to staff at reception Pramila Pooja sumana shraddha and rosme,they have been very helpful and courteous during our entire stay.the hotel is renovating and coming with new rooms which are fantastic.keep it up",,June 2019,"Dear Mr. Rawat,  Greetings from The Gateway Hotel, Surat!  We thank you for choosing The Gateway Hotel, Surat for your recent stay in Surat. Your review absolutely made our day! All of our associates are dedicated to going the extra mile to make your stay exceptional in every way. We are here to provide attentive service no matter the time of day or night.   We appreciate you taking the time to let us know how we did, and we hope your travels will bring you back to The Gateway Hotel, Surat to be our guest again in the near future!  Warm Regards  Aveek Sengupta General Manager The Gateway Hotel Surat Email: aveek.sengupta@tajhotels.com "
,,,nishit a,5.0,Good,"Amazing good and great service by Harish,Govind,khalik,Kaushal,Sikendar,Suraj and The Banquet team. Very cooperative and helpful,i highly recommend this to anyone who wants to have their next business meet/function.",,June 2019,"Dear Guest,  Greetings from The Gateway Hotel Athwalines, Surat!  I have conveyed your compliments to the hotel team for whom it has been a tremendous source of inspiration.   It is our earnest endeavor to ensure that our guests have a most enjoyable visit with us and I am glad that you have carried with you happy memories of your visit with us. Appreciation such as yours increases our motivation to achieve the expectations that our guests have of us.   We are grateful for your recommendation and do hope you will continue to provide us with more opportunities to be of service.  Warm Regards  Aveek Sengupta General Manager The Gateway Hotel Surat Email: aveek.sengupta@tajhotels.com "
,,,Vaibhav,5.0,Fabulous  and friendly staff,"We stayed at The Gateway during our recent visit to Surat. It was very pleasant stay.Great choice for staying,the arrangement for our stay  by front desk staff Ms Pooja and her team pramila,kanhu and sheetal was excellent and recommendable.kudos to the team  Tip: most try surti Chai at lobby.",,June 2019,"Dear Mr. Kamat,  Greetings from The Gateway Hotel, Surat!  We are delighted to know that you enjoyed our hospitality, food and overall services. I have conveyed your compliments to the hotel team for whom it has been a tremendous source of inspiration. It is our earnest endeavor to ensure that our guests have a most enjoyable stay with us and I am glad that you have carried with you happy memories of your visit with us.   We are grateful for your recommendation and do hope you will continue to provide us with more opportunities to be of service.  Warm Regards  Aveek Sengupta General Manager The Gateway Hotel Surat Email: aveek.sengupta@tajhotels.com  "
,,,Puttaswamygowda,5.0,Friendly staff at reception,"The hotel has very friendly staff at reception,they will help at every time.Front office associates MS pooja pramila kanhu sumana and rose were the most efficient in helping us at every time, they made arrangement for our driver,,  that was really appreciated.",,June 2019,"Dear Mr. Gowda,  Greetings from The Gateway Hotel, Surat!  We thank you for choosing The Gateway Hotel, Surat for your recent stay in Surat. Your review absolutely made our day! All of our associates are dedicated to going the extra mile to make your stay exceptional in every way. We are here to provide attentive service no matter the time of day or night.   We appreciate you taking the time to let us know how we did and hope your travels will bring you back to The Gateway Hotel, Surat to be our guest again in the near future!  Warm Regards  Aveek Sengupta General Manager The Gateway Hotel Surat Email: aveek.sengupta@tajhotels.com "
,,,Advraj,5.0,Visit in Surat for shopping.,"The hotel is very excellent indeed,the staff at check-in Pooja and pramila are very helpful,we were welcomed by khadi scarf and arti. We felt very great by such warm welcome. The food is great quality.the rooms were clean,all amenities were provided.we requested for baby cot and that was given as soon as we requested.very impressed by prompt service ,All staff are very friendly at reception- shraddha,sumana,rosme and Satish from bell desk.keep up the good work.",,February 2019,"Dear Guest,  Greetings from The Gateway Hotel, Surat!  Thank you for being our guest at The Gateway Hotel, Surat. It was a pleasure reading your review, and we appreciate you sharing the highlights of your stay with other travelers. We especially enjoyed reading your comments about our location, services, and amenities that we offer. We hope our hotel will be your preferred choice when you come back to Surat whether for business or pleasure!  Warm Regards  Aveek Sengupta General Manager The Gateway Hotel Surat Email: aveek.sengupta@tajhotels.com "
,,,Babushh,5.0,Great stay in Surat city,"The hotel is great for easy movement within city market, there are malls in near range of 5km,very convenient to stay, the food is great.Many thanks to wonderful staff at reception, Pooja duty manager and Pramila were kind and helpful,they arranged for suprise cake for our special occassion.",,May 2019,"Dear Guest,  Greetings from The Gateway Hotel, Surat!  We are delighted to know that overall you enjoyed our hospitality, food and overall services. I have conveyed your compliments to the hotel team for whom it has been a tremendous source of inspiration. It is our earnest endeavor to ensure that our guests have a most enjoyable stay with us and I am glad that you have carried with you happy memories of your stay with us.   We are grateful for your recommendation and do hope you will continue to provide us with more opportunities to be of service.  Warm Regards  Aveek Sengupta General Manager The Gateway Hotel Surat Email: aveek.sengupta@tajhotels.com "
,,,Radhesaloon,5.0,Vestige meeting,Thank you for excellent service for our meeting in Taj . We found here brilliant and friendly environment staff specially shital Premila they assist for more information about hotel and stay we love to plan here with family and also will share my closers for Taj always,,May 2019,"Dear Mr. Radhe,  Greetings from The Gateway Hotel Athwalines, Surat!  I have conveyed your compliments to the hotel team for whom it has been a tremendous source of inspiration.   It is our earnest endeavor to ensure that our guests have a most enjoyable visit with us and I am glad that you have carried with you happy memories of your visit with us. Appreciation such as yours increases our motivation to achieve the expectations that our guests have of us.   We are grateful for your recommendation and do hope you will continue to provide us with more opportunities to be of service.  Warm Regards  Aveek Sengupta General Manager The Gateway Hotel Surat Email: aveek.sengupta@tajhotels.com "
,,,Ankur Marfatia,5.0,Very good service especially by Manas and Amit and Divya.,Very good food . We had the seasonal mango deserts . The taste and dressing was awesome. The menu was recommended by Manas. The taste was delicious. The varieties which you offer are also very nice. Keep it up  Thanks,,May 2019,"Dear Guest,  Greetings from The Gateway Hotel, Surat!  Thank you for being our guest at The Gateway Hotel, Surat. It was a pleasure reading your review, and we appreciate you sharing the highlights of your visit to our restaurant. We are delighted to know that you enjoyed our hospitality, food and overall services.   I have shared your feedback with all my colleagues at the hotel and the entire team looks forward to your next visit to our hotel.     We look forward to welcoming you back once again and continuing to meet your expectations.   Warm Regards  Aveek Sengupta General Manager The Gateway Hotel Surat Email: aveek.sengupta@tajhotels.com  "
,,,Ansh,5.0,Excellent staff,"The staff at the hotel are very efficient especially Ms Pramila , Sheetal and Riddhi , always making sure our demands are met. They serve Surati chai at lobby which is fantastic. The food is good quality. Located at a good place",,May 2019,"Dear Mr. Ansh,  Greetings from The Gateway Hotel Athwalines, Surat!  I have conveyed your compliments to the hotel team for whom it has been a tremendous source of inspiration.   It is our earnest endeavor to ensure that our guests have a most enjoyable visit with us and I am glad that you have carried with you happy memories of your visit with us. Appreciation such as yours increases our motivation to achieve the expectations that our guests have of us.   We are grateful for your recommendation and do hope you will continue to provide us with more opportunities to be of service.  Warm Regards  Aveek Sengupta General Manager The Gateway Hotel Surat Email: aveek.sengupta@tajhotels.com  "
,,,Pratik,5.0,Wonderful anniversary experience,The food was awesome and services was exceptional! Many thanks Mr. Mamas and Mr. Harish! Ball juggling was nice entertainment. it's really good intertentment . We hope we will be back soon .                      Special thank to all,,May 2019,"Dear Guest,   Greetings from The Gateway Hotel, Surat!   Thank you so much for your valuable feedback. It was a pleasure reading your review, and we appreciate you sharing the highlights of your visit with other travelers. This is to convey our gratitude for the appreciation that you have shown towards the services of our hotel. Appreciation such as yours increases our motivation to achieve the expectations that our guests have of us.   I have shared your feedback with all my colleagues, especially with Manas and Harish and the entire team looks forward to your next visit to our hotel.   We hope our hotel will be your preferred choice when you come back to Surat whether for business or pleasure!   Warm Regards  Aveek Sengupta  General Manager  The Gateway Hotel Surat  Email: aveek.sengupta@tajhotels.com  "
,,,Apeksha,5.0,Excellent service by Mr Manas and restaurant team.,Service is excellent by Mr Manas. We like desert in food. The restaurant ambiance was very nice specialy the live counter.  Special thanks to chef zahir for delicious desserts.  We hope Taj Will be stay back in Surat.,,May 2019,"Dear Guest,  Greetings from The Gateway Hotel, Surat!  We are delighted to know that you enjoyed our hospitality, food and overall services. I have conveyed your compliments to the hotel team for whom it has been a tremendous source of inspiration. It is our earnest endeavor to ensure that our guests have a most enjoyable stay with us and I am glad that you have carried with you happy memories of your visit with us.   We are grateful for your recommendation and do hope you will continue to provide us with more opportunities to be of service.  We look forward to welcoming you back once again and continuing to meet your expectations.   Warm Regards  Aveek Sengupta General Manager The Gateway Hotel Surat Email: aveek.sengupta@tajhotels.com "
,,,Irfan A,5.0,Good stay,"I stay at the hotel. Since from the one month the stay was good as well as staff such a nice staff at reception, Sharddha,Rosme,Riddhi.In front of receptions there there was surti tea which was served 24 hrs. They welcome us in our arrival time,as well as welcome drink. Thank u each and everyone who helped us during our stay.",,May 2019,"Dear Mr. Irfan,  Greetings from The Gateway Hotel, Surat!  We thank you for choosing The Gateway Hotel, Surat for your recent stay in Surat. Your review absolutely made our day! All of our associates are dedicated to going the extra mile to make your stay exceptional in every way. We are here to provide attentive service no matter the time of day or night.   We appreciate you taking the time to let us know how we did, and we hope your travels will bring you back to The Gateway Hotel, Surat to be our guest again in the near future!  Warm Regards  Aveek Sengupta General Manager The Gateway Hotel Surat Email: aveek.sengupta@tajhotels.com"
,,,Suraj V,5.0,Business trip,"The gateway hotel athwalines surat,we stayed here  for more than 15nights and the stay was amazing.very welcoming team at reception especially Pramila, Rosme and Shraddha. Thankyou very much for making the efforts in making our stay smooth. The room were clean and it was taken care on daily basis. The food at restaurant is also upto the mark. Very warm staff at restaurant aswell. Proper taj hospitality. ",,May 2019,"Dear Mr. Maloo,  Greetings from The Gateway Hotel Athwalines, Surat!  I have conveyed your compliments to the hotel team for whom it has been a tremendous source of inspiration.   It is our earnest endeavor to ensure that our guests have a most enjoyable visit with us and I am glad that you have carried with you happy memories of your visit with us. Appreciation such as yours increases our motivation to achieve the expectations that our guests have of us.   We are grateful for your recommendation and do hope you will continue to provide us with more opportunities to be of service.  Warm Regards  Aveek Sengupta General Manager The Gateway Hotel Surat Email: aveek.sengupta@tajhotels.com"
,,,Amore,5.0,Excellent  visit & supportive staff,I visit so many times to gateway for food n stay always it was superb staff is very supportive n courteous from main gate to restaurant. Special thanks to pooja manager pramila harsh sheetal ravi Security manager. Very humble staff.,,May 2019,"Dear Guest,  Greetings from The Gateway Hotel, Surat!  Thank you for taking the time to share your feedback with us. We are very glad to know you were pleased with the hotel overall. It is our earnest endeavor to ensure that our guests have a most enjoyable stay with us and I am glad that you have carried with you happy memories of your stay with us. Your comments will be shared with our entire staff.  We are grateful for your recommendation and look forward to welcoming you back once again and continuing to meet your expectations.  Thank you for choosing The Gateway Hotel Athwalines Surat!  Warm Regards  Aveek Sengupta General Manager The Gateway Hotel Surat Email: aveek.sengupta@tajhotels.com  "
,,,WanderlustDoc🍻,4.0,Experience,Stayed here for a night.Hotel is having river facing rooms.Staff is helpful.Rooms are bit small but view from the rooms is good.Service is bit slow.Food is lil expensive and it's not up to the mark. Ratings  Location -4/5 Hospitality-4/5 Service-3/5 Food-3/5 Overall-3.5/5,,June 2018,"Dear Mr. Chinmay,  Greetings from The Gateway Hotel Athwalines, Surat!  Thank you for choosing to stay with us during your recent visit to Surat and for sharing your views about the hotel on TripAdvisor. We are glad to know you were pleased with the hotel product.   This is to convey our gratitude for the appreciation that you have shown towards the services of our hotel. However, please accept my apologies for the inconvenience caused to you. May I request for the areas where you found the services to be slow? This will help us to make amends.  Mr. Chinmay, your patronage is of utmost importance to us and I do hope this experience will not mar your impression of The Gateway Hotel, Surat.   I look forward to welcoming you back with us.    Warm Regards  Aveek Sengupta General Manager The Gateway Hotel Surat Email: aveek.sengupta@tajhotels.com  "
,,,thirstytravelingman,3.0,"Good, not great option","There are better, nicer and newer options in Surat. This hotel is undergoing a major renovation and we were offered the new rooms, which are indeed rather ok but not exceptional.  Lots of rooms means lot of people all the time, everywhere. The restaurant on the entrance floor has no window and poor service; it took 45 minutes to receive our food at lunch time with half the tables occupied. Plus, the food tasted weird and old (we though it might come from the previous evening buffet...).  There is an alcohol store, but you need a licence that can be provided on site.",,April 2019,"Dear Guest,  Greetings from The Gateway Hotel, Surat!   At the outset please accept my sincere apologies for the inconvenience caused to you due to renovation. We had communicated last year on our website and major partners that our renovation will continue till 30th September’2019.    We regret the delay in service. I have discussed with the entire team to keep the standards high as are befitting for the brand we represent. It goes without saying that we cannot give ourselves the liberty of not adhering to the high standards that we have set for ourselves.   We follow rigorous hygiene standards; therefore, our food is perfectly safe to consume. However, we regret that you found the taste unappealing. On your next visit, our Chef will be delighted to make personalized dishes for you.  Your patronage is of utmost importance to us and I do hope this experience will not mar your impression of The Gateway Hotel, Surat.   I look forward to welcoming you back with us.     Warm Regards  Aveek Sengupta General Manager The Gateway Hotel Surat Email: aveek.sengupta@tajhotels.com  "
,,,Urmila,5.0,Wow experience by staff,"We stayed here from la passage travel need to appreciate restaurant staffs very humble and polite always ready to serve,manager pradip and harish are pro active to take care,chef george delicious roll.thank you taj for taking care of us.",,May 2019,"Dear Ms. Singh,  Greetings from The Gateway Hotel Athwalines, Surat!  I have conveyed your compliments to the hotel team for whom it has been a tremendous source of inspiration.   It is our earnest endeavor to ensure that our guests have a most enjoyable visit with us and I am glad that you have carried with you happy memories of your visit with us. Appreciation such as yours increases our motivation to achieve the expectations that our guests have of us.   We are grateful for your recommendation and do hope you will continue to provide us with more opportunities to be of service.  Warm Regards  Aveek Sengupta General Manager The Gateway Hotel Surat Email: aveek.sengupta@tajhotels.com  "
,,,Santosh,5.0,"Amazing experience at Gateway hotel, Surat","It's been amazing to staying here , we are here for last 7 days.. food was excellent... service by staff from restaurants was outstanding. We had lunch at spice and they showed us the Melzo Tab  Menu which was very unique concept. Thank you Taj for giving us this kind of hospitality.....and Special thanks  to Restaurants Manager  Mr. Pradip and Mr. Harish...",,May 2019,"Dear Mr. Santosh,  Greetings from The Gateway Hotel, Surat!   Thank you so much for your valuable feedback. It was a pleasure reading your review, and we appreciate you sharing the highlights of your stay with other travelers. This is to convey our gratitude for the appreciation that you have shown towards the services of our hotel. Appreciation such as yours increases our motivation to achieve the expectations that our guests have of us.   I have shared your feedback with all my colleagues at the hotel and the entire team looks forward to your next visit to our hotel.     We hope our hotel will be your preferred choice when you come back to Surat whether for business or pleasure!   Warm Regards  Aveek Sengupta  General Manager  The Gateway Hotel Surat  Email: aveek.sengupta@tajhotels.com  "
,,,Shailender Vijay Sharma,5.0,Wonderful Stay !,"It was great to stay here for one week. Staff is extraordinary supportive and ensure complete care. Pramila, Kanhu, Sumana, ...some of the few names i remember, were very kind and demonstrated highest level of hospitality. Thanks",,May 2019,"Dear Mr. Shailender,  Greetings from The Gateway Hotel, Surat!  We thank you for choosing The Gateway Hotel, Surat for your recent stay in Surat. Your review absolutely made our day! All of our associates are dedicated to going the extra mile to make your stay exceptional in every way. We are here to provide attentive service no matter the time of day or night.   We appreciate you taking the time to let us know how we did, and we hope your travels will bring you back to The Gateway Hotel, Surat to be our guest again in the near future!  Warm Regards  Aveek Sengupta General Manager The Gateway Hotel Surat Email: aveek.sengupta@tajhotels.com  "
,,,NIKUNJ1111,5.0,The Only location in Surat,The only location in surat centrally located the best and the most effiecent front desk staff.The best breakfast layout.The best and most comfortable rooms.The rooms are very cosy with great washrooms and bed.The food is good.The service is excellent,,May 2019,"Dear Mr. Nikunj,  Greetings from The Gateway Hotel, Surat!  Thank you for being our guest at The Gateway Hotel, Surat. It was a pleasure reading your review, and we appreciate you sharing the highlights of your stay with other travelers. We especially enjoyed reading your comments about our location, excellent service and the many amenities we offer. We hope our hotel will be your preferred choice when you come back to Surat whether for business or pleasure!  Warm Regards  Aveek Sengupta General Manager The Gateway Hotel Surat Email: aveek.sengupta@tajhotels.com  "
,,,Journey66787114730,4.0,SERVICE IS REALLY GOOD,Inspite of renovation they are taking the best care of the guest. After renovation they should consider to replace the carpets of the corridors. Must use the SPA. I have a very good experience. I am sure there will be no more words of suggestion after the renovation.,,May 2019,"Dear Guest,  Greetings from The Gateway Hotel, Surat!  Thank you for being our guest at The Gateway Hotel, Surat. It was a pleasure reading your review, and we appreciate you sharing the highlights of your stay with other travelers. We especially enjoyed reading your comments about our location, excellent service and the many amenities we offer.  The renovation activity in the hotel is expected to be over in the next few months. We do the noisy work only during 9AM to 6PM to minimize inconvenience to our guests.  We hope our hotel will be your preferred choice when you come back to Surat whether for business or pleasure!  Warm Regards  Aveek Sengupta General Manager The Gateway Hotel Surat Email: aveek.sengupta@tajhotels.com  "
,,,Kiran patel,5.0,Best hotel in surat,We travel to surat every month and the hotel preferred is The Gateway Hotel . We have been staying since many years and we are always happy with the service. The rooms are very cozy and warm. The view of tapi river and breakfast dining is great. The staff from reception Pramila kanhu and sumana  - i would like to appreciate them for their efforts in making our stay so memorable . And ll the hotel staff are very courte ous. Keep up the good work,,May 2019,"Dear Guest,   Greetings from The Gateway Hotel, Surat!   Thank you so much for your valuable feedback. It was a pleasure reading your review, and we appreciate you sharing the highlights of your stay with other travelers. This is to convey our gratitude for the appreciation that you have shown towards the services of our hotel. Appreciation such as yours increases our motivation to achieve the expectations that our guests have of us.   I have shared your feedback with all my colleagues, especially Pramila, Kahnu and Sumana and the entire team looks forward to your next visit to our hotel.   We hope our hotel will be your preferred choice when you come back to Surat whether for business or pleasure!   Warm Regards  Aveek Sengupta  General Manager  The Gateway Hotel Surat  Email: aveek.sengupta@tajhotels.com "
,,,SwenyR,5.0,Service at its best,It was my first visit to Surat. It is a nice property and very good location. Service was fantastic - from the reception to in room dining and at the breakfast - staff took extra care and went out of the way to meet requirements. This is going to be the hotel of choice for every travel to Surat,,May 2019,"Dear Ms. Rokani,  Greetings from The Gateway Hotel, Surat!  Thank you for being our guest at The Gateway Hotel, Surat. It was a pleasure reading your review, and we appreciate you sharing the highlights of your stay with other travelers. We especially enjoyed reading your comments about our location, excellent service and the many amenities we offer. We hope our hotel will be your preferred choice when you come back to Surat whether for business or pleasure!  Warm Regards  Aveek Sengupta General Manager The Gateway Hotel Surat Email: aveek.sengupta@tajhotels.com  "
,,,Sandeep S,5.0,Amazing,I stayed there for more than 20 days. Everything was fantastic being a place where construction is also going on. On reception Shraddha is very helpful under supervision of manager Pooja. Room service is good and behaved. In buffet due construction air-conditioning doesn't work but music and tasty food is awesome. Sheff Pandey ask your taste and make it accordingly. Gym is well equipped but instructor is rarely available. Steam and spa is fantastic. One can get alcohol from ground floor. Mr Tiwari from sis security is found professional. I appreciate on healthy food. And business centre is okok .,,April 2019,"Dear Mr. Sandeep,  Greetings from The Gateway Hotel, Surat!  Thank you for being our guest at The Gateway Hotel, Surat. It was a pleasure reading your review, and we appreciate you sharing the highlights of your stay with other travelers. We especially enjoyed reading your comments about our location, excellent service and the many amenities we offer. We hope our hotel will be your preferred choice when you come back to Surat whether for business or pleasure!  Warm Regards  Aveek Sengupta General Manager The Gateway Hotel Surat Email: aveek.sengupta@tajhotels.com  "
